asset_id,category,variant,path,width,height,expected_width,expected_height,palette_colors,palette_limit,keyed_magenta,md5,size_ok,palette_ok
P_AMBASSADOR_03,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f03.png,64,96,64,96,5571,,False,d5ce7c42271a08c6b83aa53c951267c8,True,True
P_AMBASSADOR_03,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f03.png,64,96,64,96,15,15,False,3ed9e7f374ce491f76434b34f23ae707,True,True
P_AMBASSADOR_04,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f04.png,512,768,512,768,138345,,False,bfb2fb2983bce0057c4fc96059aef540,True,True
P_AMBASSADOR_04,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f04.png,64,96,64,96,5551,,False,017da714ae6246a4172579e8c38ef4c7,True,True
P_AMBASSADOR_04,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f04.png,64,96,64,96,15,15,False,87d08c26fa3f94148d4da86ce1b5eb15,True,True
P_AMBASSADOR_05,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f05.png,512,768,512,768,137488,,False,2ac03fe426d31e0b6a707b8f1f3404f3,True,True
P_AMBASSADOR_05,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f05.png,64,96,64,96,5540,,False,2e4ad5ef3996ef25a1aa9e8913f2924b,True,True
P_AMBASSADOR_05,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f05.png,64,96,64,96,15,15,False,ae22d9a754c27205548c36873d2ea475,True,True
P_AMBASSADOR_06,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f06.png,512,768,512,768,136859,,False,b3793e63d2a9d9b9c47ca169660a1568,True,True
P_AMBASSADOR_06,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f06.png,64,96,64,96,5570,,False,cf66151b18ef269753679c0f6675cb45,True,True
P_AMBASSADOR_06,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f06.png,64,96,64,96,15,15,False,119278f86354a362c89bf8823c66a2de,True,True
P_AMBASSADOR_07,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f07.png,512,768,512,768,136704,,False,8a5bf81a89d2ced66ee99cc2a8fcdad0,True,True
P_AMBASSADOR_07,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f07.png,64,96,64,96,5548,,False,29f47e0a3b0233e0c5fcd58a786a78ec,True,True
P_AMBASSADOR_07,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f07.png,64,96,64,96,15,15,False,799d2da5f58a9048c17425ca84b46f40,True,True
P_AMBASSADOR_08,portrait_frame,source_fullcolor,source_fullcolor/portraits/ambassador/P_ambassador_f08.png,512,768,512,768,136586,,False,bbe4523f81815133f98eb7c4370669a6,True,True
P_AMBASSADOR_08,portrait_frame,target_fullcolor,target_fullcolor/portraits/ambassador/P_ambassador_f08.png,64,96,64,96,5558,,False,481a54faf96b840a4cad771ea59a9ea8,True,True
P_AMBASSADOR_08,portrait_frame,saturn_ready,saturn_ready/portraits/ambassador/P_ambassador_f08.png,64,96,64,96,15,15,False,37f41866d2f29c42877379d9fffdb7e8,True,True
P_CONTESSA_01,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f01.png,512,768,512,768,87249,,False,0fd08183638d506a6b3792cb5c5521bf,True,True
P_CONTESSA_01,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f01.png,64,96,64,96,4259,,False,5038d756d265a039da6beda5ea5d41d9,True,True
P_CONTESSA_01,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f01.png,64,96,64,96,15,15,False,89fdff59b27acdac9fe2a3a1ab80f448,True,True
P_CONTESSA_02,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f02.png,512,768,512,768,86728,,False,34ac641dbce237be63acd5d64172b9be,True,True
P_CONTESSA_02,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f02.png,64,96,64,96,4237,,False,bef5514b72fb697f60c398c98d39b17e,True,True
P_CONTESSA_02,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f02.png,64,96,64,96,15,15,False,eca5c34bb21905d39926e81c8c230633,True,True
P_CONTESSA_03,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f03.png,512,768,512,768,88096,,False,46607b3a4c1ba3d9b2c892fd085a6e96,True,True
P_CONTESSA_03,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f03.png,64,96,64,96,4291,,False,38d9b3f5a77d91ef5fbda486a7f58150,True,True
P_CONTESSA_03,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f03.png,64,96,64,96,15,15,False,96877069055b9d909fa007873428709f,True,True
P_CONTESSA_04,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f04.png,512,768,512,768,86766,,False,5a0caffd63cdc74e890abe0a745ae926,True,True
P_CONTESSA_04,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f04.png,64,96,64,96,4252,,False,320dfdc4dc3836c3899fdc4adef508fd,True,True
P_CONTESSA_04,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f04.png,64,96,64,96,15,15,False,87f760e4545c51324e02193b9ad985ec,True,True
P_CONTESSA_05,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f05.png,512,768,512,768,86646,,False,08c3c39a1d75a08a42c3c10a48260195,True,True
P_CONTESSA_05,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f05.png,64,96,64,96,4251,,False,4c1d6596542f35b9bcadea67627aff3a,True,True
P_CONTESSA_05,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f05.png,64,96,64,96,15,15,False,f6d4ecd12255523bfe0913269f5a09ea,True,True
P_CONTESSA_06,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f06.png,512,768,512,768,86887,,False,7c7078abb318333342bb9e61d4328b6c,True,True
P_CONTESSA_06,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f06.png,64,96,64,96,4240,,False,db5c8fa38a303a7c04c75f7f8a17b7b1,True,True
P_CONTESSA_06,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f06.png,64,96,64,96,15,15,False,22ffd8278b7aaac3d4f4cb717683d8ae,True,True
P_CONTESSA_07,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f07.png,512,768,512,768,87721,,False,18f7a9b4f91ac479d1a78296d4297767,True,True
P_CONTESSA_07,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f07.png,64,96,64,96,4334,,False,f1ee00b0efdad3320df01a7975fe34b9,True,True
P_CONTESSA_07,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f07.png,64,96,64,96,15,15,False,5ecdeffc552db4bbdcaf1fe26d7034d6,True,True
P_CONTESSA_08,portrait_frame,source_fullcolor,source_fullcolor/portraits/contessa/P_contessa_f08.png,512,768,512,768,86002,,False,3719cbda9d25f229f6c75498ebbab5d6,True,True
P_CONTESSA_08,portrait_frame,target_fullcolor,target_fullcolor/portraits/contessa/P_contessa_f08.png,64,96,64,96,4189,,False,94648337e03965cb7e42ab685adceb9a,True,True
P_CONTESSA_08,portrait_frame,saturn_ready,saturn_ready/portraits/contessa/P_contessa_f08.png,64,96,64,96,15,15,False,e7fad40b95fefc5a33933fcaa4f7665e,True,True
C1,card,source_fullcolor,source_fullcolor/cards/C1_card_back.png,384,576,384,576,21603,,False,6eaaba5da7edd6ba5e707194501a57a5,True,True
C1,card,target_fullcolor,target_fullcolor/cards/C1_card_back.png,48,72,48,72,1422,,False,3b7513324019ace3a304eb6486878325,True,True
C1,card,saturn_ready,saturn_ready/cards/C1_card_back.png,48,72,48,72,15,15,False,97a2f81f23a041a5dcb66e1121c80d49,True,True
C2,card,source_fullcolor,source_fullcolor/cards/C2_duke.png,384,576,384,576,110149,,False,d06003be7161441a9262cf306f3e468b,True,True
C2,card,target_fullcolor,target_fullcolor/cards/C2_duke.png,48,72,48,72,3258,,False,5758ab87eab76f6e70bdc953d5aad8fe,True,True
C2,card,saturn_ready,saturn_ready/cards/C2_duke.png,48,72,48,72,15,15,False,2b60b65239892aec18efb5ec9761527e,True,True
C3,card,source_fullcolor,source_fullcolor/cards/C3_assassin.png,384,576,384,576,60207,,False,97c1f6ed3f75512e7ae0b7fb9038fd60,True,True
C3,card,target_fullcolor,target_fullcolor/cards/C3_assassin.png,48,72,48,72,2406,,False,6309a89add4c86fee921a9bf77bb5443,True,True
C3,card,saturn_ready,saturn_ready/cards/C3_assassin.png,48,72,48,72,15,15,False,6711fed907c83b722bb9182e210ed540,True,True
C4,card,source_fullcolor,source_fullcolor/cards/C4_captain.png,384,576,384,576,86464,,False,05c9bb37fee1af557fdcbc6da0d9ab1c,True,True
C4,card,target_fullcolor,target_fullcolor/cards/C4_captain.png,48,72,48,72,3053,,False,4b9cfc89034b196874dbf310903bd849,True,True
